timestamp,speed,vehicle_count,distance,traffic_density
2024-11-02 00:00:01,-5.0,6,85,0.62
2024-11-02 00:00:02,4.0,8,90,0.21
2024-11-02 00:00:03,4.0,12,124,0.45
2024-11-02 00:00:04,4.0,10,50,0.75
2024-11-02 00:00:05,0.0,6,78,0.89
2024-11-02 00:00:06,2.0,18,69,0.62
2024-11-02 00:00:07,4.0,16,65,0.22
2024-11-02 00:00:08,1.0,5,109,0.82
2024-11-02 00:00:09,-4.0,7,95,0.67
2024-11-02 00:00:10,0.0,6,92,0.49
2024-11-02 00:00:11,4.0,20,75,0.23
2024-11-02 00:00:12,-5.0,22,69,0.56
2024-11-02 00:00:13,-1.0,18,57,0.21
2024-11-02 00:00:14,-3.0,10,61,0.84
2024-11-02 00:00:15,-3.0,18,75,0.72
2024-11-02 00:00:16,-4.0,17,43,0.81
2024-11-02 00:00:17,-5.0,10,82,0.5
2024-11-02 00:00:18,3.0,10,80,0.76
2024-11-02 00:00:19,1.0,12,127,0.99
2024-11-02 00:00:20,1.0,5,90,0.6
2024-11-02 00:00:21,-2.0,23,48,0.6
2024-11-02 00:00:22,5.0,22,90,0.6
2024-11-02 00:00:23,-5.0,21,55,0.61
2024-11-02 00:00:24,-2.0,25,44,0.96
2024-11-02 00:00:25,2.0,14,42,0.54
2024-11-02 00:00:26,-3.0,18,113,0.7
2024-11-02 00:00:27,-2.0,22,114,0.95
2024-11-02 00:00:28,0.0,8,47,0.29
2024-11-02 00:00:29,-1.0,10,118,0.27
2024-11-02 00:00:30,2.0,25,91,0.21
2024-11-02 00:00:31,4.0,14,70,0.2
2024-11-02 00:00:32,0.0,18,119,0.68
2024-11-02 00:00:33,-5.0,16,120,0.48
2024-11-02 00:00:34,0.0,6,127,0.77
2024-11-02 00:00:35,-4.0,5,112,0.58
2024-11-02 00:00:36,0.0,14,120,0.21
2024-11-02 00:00:37,-2.0,9,125,0.7
2024-11-02 00:00:38,-3.0,11,99,0.58
2024-11-02 00:00:39,0.0,25,54,0.83
2024-11-02 00:00:40,5.0,18,62,0.77
2024-11-02 00:00:41,2.0,8,105,0.48
2024-11-02 00:00:42,-3.0,13,56,0.67
2024-11-02 00:00:43,-5.0,5,85,0.97
2024-11-02 00:00:44,1.0,16,124,0.43
2024-11-02 00:00:45,-2.0,20,108,0.25
2024-11-02 00:00:46,4.0,18,45,0.26
2024-11-02 00:00:47,2.0,15,102,0.54
2024-11-02 00:00:48,-4.0,5,125,0.56
2024-11-02 00:00:49,3.0,17,98,0.41
2024-11-02 00:00:50,0.0,9,98,0.83
2024-11-02 00:00:51,-4.0,16,91,0.95
2024-11-02 00:00:52,-2.0,20,118,0.46
2024-11-02 00:00:53,1.0,16,72,0.38
2024-11-02 00:00:54,-5.0,24,93,0.96
2024-11-02 00:00:55,2.0,17,73,0.39
2024-11-02 00:00:56,-3.0,5,124,0.27
2024-11-02 00:00:57,-5.0,21,108,0.69
2024-11-02 00:00:58,-5.0,17,51,0.46
2024-11-02 00:00:59,-4.0,11,117,0.68
2024-11-02 00:01:00,-5.0,24,48,0.4
2024-11-02 00:01:01,-5.0,22,59,0.52
2024-11-02 00:01:02,-2.0,22,89,0.63
2024-11-02 00:01:03,5.0,8,77,0.32
2024-11-02 00:01:04,1.0,18,114,0.83
2024-11-02 00:01:05,-3.0,14,82,0.67
2024-11-02 00:01:06,2.0,8,109,0.9
2024-11-02 00:01:07,-4.0,18,47,0.34
2024-11-02 00:01:08,-5.0,7,75,0.68
2024-11-02 00:01:09,4.0,18,72,0.32
2024-11-02 00:01:10,-4.0,21,45,0.91
2024-11-02 00:01:11,-5.0,22,104,0.44
2024-11-02 00:01:12,-1.0,7,69,0.77
2024-11-02 00:01:13,5.0,5,97,0.34
2024-11-02 00:01:14,-1.0,13,89,0.96
2024-11-02 00:01:15,-4.0,22,98,0.71
2024-11-02 00:01:16,4.0,8,122,0.35
2024-11-02 00:01:17,2.0,22,95,0.39
2024-11-02 00:01:18,-2.0,21,46,0.77
2024-11-02 00:01:19,-2.0,19,120,0.71
2024-11-02 00:01:20,0.0,5,117,0.7
2024-11-02 00:01:21,-3.0,11,116,0.33
2024-11-02 00:01:22,-3.0,17,100,0.6
2024-11-02 00:01:23,-2.0,21,60,0.93
2024-11-02 00:01:24,-3.0,13,102,0.95
2024-11-02 00:01:25,5.0,13,118,0.38
2024-11-02 00:01:26,-3.0,23,87,0.85
2024-11-02 00:01:27,1.0,17,91,0.85
2024-11-02 00:01:28,2.0,5,118,0.6
2024-11-02 00:01:29,-1.0,6,93,0.83
2024-11-02 00:01:30,1.0,15,109,0.88
2024-11-02 00:01:31,-1.0,21,70,0.67
2024-11-02 00:01:32,5.0,9,129,0.94
2024-11-02 00:01:33,3.0,10,101,0.3
2024-11-02 00:01:34,-5.0,6,93,0.42
2024-11-02 00:01:35,-1.0,7,87,0.54
2024-11-02 00:01:36,-4.0,23,55,0.22
2024-11-02 00:01:37,-3.0,23,102,0.59
2024-11-02 00:01:38,-4.0,14,101,0.69
2024-11-02 00:01:39,5.0,6,79,0.34
2024-11-02 00:01:40,-4.0,8,44,0.73
2024-11-02 00:01:41,4.0,22,126,0.28
2024-11-02 00:01:42,-2.0,20,121,0.99
2024-11-02 00:01:43,3.0,8,68,0.81
2024-11-02 00:01:44,0.0,7,75,0.93
2024-11-02 00:01:45,1.0,23,42,0.28
2024-11-02 00:01:46,-1.0,7,72,0.51
2024-11-02 00:01:47,-2.0,20,53,0.53
2024-11-02 00:01:48,-4.0,17,61,0.57
2024-11-02 00:01:49,-3.0,18,56,0.77
2024-11-02 00:01:50,-1.0,7,110,0.25
2024-11-02 00:01:51,-2.0,25,101,0.42
2024-11-02 00:01:52,2.0,16,121,0.85
2024-11-02 00:01:53,2.0,7,128,0.82
2024-11-02 00:01:54,-2.0,9,41,0.31
2024-11-02 00:01:55,1.0,24,88,0.87
2024-11-02 00:01:56,0.0,6,90,0.23
2024-11-02 00:01:57,4.0,10,90,0.65
2024-11-02 00:01:58,-5.0,23,57,0.8
2024-11-02 00:01:59,1.0,15,101,0.91
2024-11-02 00:02:00,1.0,25,69,0.52
2024-11-02 00:02:01,4.0,24,76,0.91
2024-11-02 00:02:02,3.0,21,100,0.39
2024-11-02 00:02:03,-2.0,20,51,0.67
2024-11-02 00:02:04,-2.0,15,49,1.0
2024-11-02 00:02:05,-2.0,23,55,0.78
2024-11-02 00:02:06,-3.0,10,101,0.99
2024-11-02 00:02:07,3.0,16,42,0.83
2024-11-02 00:02:08,1.0,13,98,0.88
2024-11-02 00:02:09,0.0,14,93,0.57
2024-11-02 00:02:10,-1.0,8,52,0.55
2024-11-02 00:02:11,5.0,24,81,0.3
2024-11-02 00:02:12,5.0,17,40,0.28
2024-11-02 00:02:13,5.0,15,110,0.8
2024-11-02 00:02:14,-4.0,22,95,0.62
2024-11-02 00:02:15,4.0,7,127,0.33
2024-11-02 00:02:16,-2.0,8,100,0.89
2024-11-02 00:02:17,-3.0,13,43,0.39
2024-11-02 00:02:18,3.0,12,103,0.81
2024-11-02 00:02:19,1.0,12,50,0.83
2024-11-02 00:02:20,-3.0,25,88,0.68
2024-11-02 00:02:21,-3.0,21,98,0.57
2024-11-02 00:02:22,-4.0,15,45,0.31
2024-11-02 00:02:23,5.0,15,103,0.39
2024-11-02 00:02:24,0.0,21,50,0.79
2024-11-02 00:02:25,-1.0,6,93,0.91
2024-11-02 00:02:26,5.0,6,85,0.91
2024-11-02 00:02:27,-2.0,10,87,0.54
2024-11-02 00:02:28,3.0,8,92,0.58
2024-11-02 00:02:29,0.0,8,66,0.75
2024-11-02 00:02:30,1.0,13,128,0.98
2024-11-02 00:02:31,-3.0,8,86,0.82
2024-11-02 00:02:32,5.0,12,60,0.31
2024-11-02 00:02:33,3.0,25,57,0.22
2024-11-02 00:02:34,-2.0,10,110,0.93
2024-11-02 00:02:35,0.0,20,124,0.33
2024-11-02 00:02:36,-2.0,16,123,0.39
2024-11-02 00:02:37,0.0,13,82,0.22
2024-11-02 00:02:38,-5.0,6,54,0.84
2024-11-02 00:02:39,-2.0,20,101,0.34
2024-11-02 00:02:40,-3.0,21,97,0.45
2024-11-02 00:02:41,2.0,23,87,0.71
2024-11-02 00:02:42,-3.0,14,117,0.41
2024-11-02 00:02:43,-3.0,8,47,0.41
2024-11-02 00:02:44,3.0,20,78,0.63
2024-11-02 00:02:45,3.0,5,99,0.44
2024-11-02 00:02:46,5.0,19,65,0.53
2024-11-02 00:02:47,-5.0,23,49,0.46
2024-11-02 00:02:48,0.0,7,73,0.31
2024-11-02 00:02:49,5.0,23,73,0.83
2024-11-02 00:02:50,5.0,23,54,0.5
2024-11-02 00:02:51,4.0,16,84,0.43
2024-11-02 00:02:52,5.0,15,105,0.22
2024-11-02 00:02:53,0.0,24,53,0.25
2024-11-02 00:02:54,1.0,5,91,0.93
2024-11-02 00:02:55,0.0,13,116,0.73
2024-11-02 00:02:56,2.0,25,110,0.4
2024-11-02 00:02:57,5.0,11,113,0.25
2024-11-02 00:02:58,-1.0,22,100,0.44
2024-11-02 00:02:59,1.0,25,50,0.71
2024-11-02 00:03:00,0.0,11,41,0.85
2024-11-02 00:03:01,4.0,13,87,0.42
2024-11-02 00:03:02,2.0,6,69,0.74
2024-11-02 00:03:03,-5.0,10,102,0.72
2024-11-02 00:03:04,1.0,11,97,0.22
